SN,NAME,Project name,Organisation
96,Riccardo Mancini,Multi-threading in perf,The Linux Foundation
97,Nishchal Singi,A frontend for Niffler DICOM framework for machine learning pipelines and processing workflows,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
98,Yemdjih Kaze Nasser,Machine Learning Credit Scorecard PHASE 4,The Apache Software Foundation
99,Virajkumar Patel,Tensorflow GUI,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
100,Zeyad Gouda,Use eBPF to lock/unlock the network,CRIU
101,Abhay Garg,Introduce Support for Displaying Copyright Licenses,Oppia Foundation
102,Niklas Muennighoff,TripPy + DeepPavlov,DeepPavlov
103,Anna Bogdanova,Extend CSS Selectors Level 4 Support in cssselect,Python Software Foundation
104,Aman Dwivedi,Adding React Library to new UI,FOSSology
105,Kensei Nakada,web-based simulator for scheduler behaviour (Project: Kubernetes),CNCF
106,Jeffrey Paul,3D Plotting,openastronomy
107,Rakshit P,Matrix State of the Art,Pharo Consortium
108,Alejandro Fernández,An object detection component for LearnBlock,RoboComp
109,nakuldx,corobo Enhancement Project,coala
110,Chuyang Chen,Integrate Enzyme into Rust to Provide High-performance Differentiation in Rust,The LLVM Compiler Infrastructure
111,aniket agarwalla,Moving Least Squares for point set smoothing and differential properties estimation,CGAL Project
112,Alluri Harshit Varma,Quality Improvements for Light & Shadow,The Terasology Foundation
113,James Culver,New Release,Pidgin Instant Messenger
114,Karan Singh,Vitrivr Reads,vitrivr
115,qlin,Pocket Code for Android: HMS API Machine Learning and AI support,International Catrobat Association
116,Aditi Verma,Integrating NumPy into PySyft,OpenMined
117,Sinan Gençoğlu,Background Estimation with Neural Autoregressive Flows Proposal,Machine Learning for Science (ML4SCI) Umbrella Organization
118,Akash Dhiman,Work on enhancing Zulip's mobile experience.,Zulip
119,Bhuvaneshwar Vemula,Command Palette,Godot Engine
120,Nicholas Mancuso,Upgrade Java Grammar from ANTLR2 to ANTLR4,Checkstyle
